docname,from,to,pre,keyword,post,pattern
text6398,3418,3418,Lebensmittel Wahlpflichtkurs Vertiefung,Ernährung,und Getränke Typus,*ernährung
text6398,3799,3799,odul Ern Wahlmodul,Ernährung,", Kurs :",*ernährung
text6398,4141,4141,Vertiefung Getränke und,Ernährung,Typus Core course,*ernährung
text6398,4424,4424,Lebensmittel Ern Wahlmodul,Ernährung,", Kurs :",*ernährung
text6398,4449,4449,Lebensmittel Wahlpflichtkurs Vertiefung,Ernährung,und Getränke Typus,*ernährung
text6398,4916,4916,Lebensmittel Ern Wahlmodul,Ernährung,", Kurs :",*ernährung
text6398,5064,5064,Innovationen wie Naturkosmetik,Nachhaltigkeit,Mikroalgen Cosmeceuticals Unterrichtssprache,nachhaltig*
text6399,44,44,Status Pflichtkurs Vertiefung,Ernährung,Wahlpflichtkurs Vertiefung Getränke,*ernährung
text6399,295,295,des Moduls Vertiefung,Ernährung,Bemerkungen Telefon Modulverantwortliche,*ernährung
text6399,357,357,Wahlmodul Ern Vertiefung,Ernährung,Get Wahlmodul Getränke,*ernährung
text6399,760,760,Getränke Wahlpflichtkurs Vertiefung,Ernährung,und Lebensmittel Typus,*ernährung
text6399,1179,1179,Getränke Ern Wahlmodul,Ernährung,", Kurs :",*ernährung
text6399,1202,1202,Getränke Wahlpflichtkurs Vertiefung,Ernährung,und Lebensmittel Typus,*ernährung
text6399,1511,1511,Getränke Ern Wahlmodul,Ernährung,", Kurs :",*ernährung
text6399,1535,1535,Getränke Wahlpflichtkurs Vertiefung,Ernährung,und Lebensmittel Typus,*ernährung
text6399,1828,1828,Getränke Ern Wahlmodul,Ernährung,", Kurs :",*ernährung
text6399,1851,1851,Getränke Wahlpflichtkurs Vertiefung,Ernährung,und Lebensmittel Typus,*ernährung
text6399,2257,2257,Getränke Ern Wahlmodul,Ernährung,", Kurs :",*ernährung
text6399,2605,2605,Status Pflichtkurs Vertiefung,Ernährung,Wahlpflichtkurs Vertiefung Getränke,*ernährung
text6399,2924,2924,Wahlmodul Ern Vertiefung,Ernährung,Get Wahlmodul Getränke,*ernährung
text6399,3247,3247,Status Pflichtkurs Vertiefung,Ernährung,Wahlpflichtkurs Vertiefung Getränke,*ernährung
text6399,3431,3431,des Moduls Vertiefung,Ernährung,Bemerkungen Telefon Modulverantwortliche,*ernährung
text6399,3489,3489,Wahlmodul Ern Vertiefung,Ernährung,Get Wahlmodul Getränke,*ernährung
text6399,3844,3844,", Kurs :",Nachhaltigkeit,"der WertschöpfungsketteNr ,",nachhaltig*
text6399,3851,3851,Beze ichnung :,Nachhaltigkeit,der WertschöpfungsketteLeitungClaudia Müller,nachhaltig*
